Perusahaan,Kapasitaspembangkit(MW),,,,
,Batu bara,PLN,Diesel,Gas,Hydro
ArthabumiSentraIndustri,15,,,,
CORIndustriIndonesia,15,,,,
SulawesiResources,60,,,,
MetalSmeltindoSelaras,130,,,,
TsingshanSteelIndonesia,130,,,,
WanxiangNickelIndonesia,150,,,,
MorowaliPowerMandiri,250,,,,
IndonesiaGuangChingNickelandStainlessSteel Industry,300,,,,
LestariSmelterIndonesia,350,,,,
WalsinNickelIndustrialIndonesia,350,,,,
HuaChinAluminumIndonesia,380,,,,
SulawesiMiningInvestment,510,,,,
IndonesiaTsingshanStainlessSteel,1400,,,,
GunbusterNickelIndustry,2295,,,,
AngandFangBrother,,100,10,,
AnugrahTambangSejahtera,,146,,,
BukitSmelterIndonesia,,,,,
CahayaSmelterIndonesia,,,,,
DexinSteelIndonesia,,,,,
FajarMetalIndustry,,,,,
