Perusahaan,Komoditas logam,Kategori logam,"Output(tonper tahun,tpa, asumsiberat kotor)",COD
ValeIndonesia(Pomalaa),Nickel,MHP,"120,000",2026
KinlinNickelIndustri,Nickel,NPI,"17,000",2021
MapanAsriSejahtera,Nickel,NPI,"21,531",2023
BintangSmelterIndonesia,Nickel,NPI,"40,000",2023
MahkotaKonweeha,Nickel,NPI,"62,000",2023
ArthaMiningIndustry,Nickel,NPI,"200,000",2023
MacikaMineralIndustri,Nickel,NPI,"276,264",2023
IntegraMiningNusantara,Nickel,NPI,"285,220",2024
SambasMineralsMining,Nickel,NPI,"104,544",2025
AsiaMiningMinerals,Nickel,NPI,"160,712",2025
GenbaMultiMineral,Nickel,NPI,"500,000",2025
