PerdaganganBesardanEceran;Perbaikan MobildanSepedaMotor,"-1,91","378,18"
TransportasidanPenyimpanan,"-0,688","181,23"
PenyediaanAkomodasidanMakanandan Minuman,"-0,029","84,22"
InformasidanKomunikasi,"-0,157","190,82"
JasaKeuangandanAsuransi,"-0,806","158,09"
Properti,"-0,057","62,89"
JasaPerusahaan,"-0,106","329,03"
"AdministrasiPemerintah,Pertahanan,dan JaminanSosialWajib","-0,028","33,79"
JasaPendidikan,"-0,004","2,96"
JasaKesehatandanAktivitasSosial,"-0,004","2.785,11"
JasaLainnya,"-0,141","27,17"
Total,"-122,55","7.284,4"
