Perusahaan,Kapasitaspembangkit(MW),,,,
,Batu bara,PLN,Diesel,Gas,Hydro
FajarBhaktiLintasNusantara,300,,,,
HalmaheraPersadaLygend,360,,,,
SunnyMetalIndustry,380,,,,
AngelNickelIndustry,760,,,,
HalmaheraJayaFeronikel,1074,,,,
IndonesiaWedaBayIndustrialPark,1140,,,,
ObiNickelCobalt,1520,,,,
AlchemistMetalIndustry,2202,,,,
AnekaTambang(Expansion),,,96,,
FajarBhaktiLintasNusantara(Expansion),,,300,,
TekaMiningResources,,,14,,
TrimegahBangunPersada,,,,,
KinlinNickelIndustri,2,,2,,
MapanAsriSejahtera,3,,,,
AsiaMiningMinerals,24,,2,,
SuryaSagaUtama,30,,10,,
AnekaTambang(Pomalaa),60,,100,,
VirtueDragonNickelIndustry,530,,,,
GenbaMultiMineral,700,,,,
ObsidianStainlessSteel,1780,,,,
AdhikaraCiptaMulia,,,1,,
ArthaMiningIndustry,,,2,,
BintangSmelterIndonesia,,100,,,
